PAC,NAME,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
110101,东城区,0.601037501,0.579020796,0.577606247,0.606095221,0.5642881,0.600642938,0.68024665,0.727929506,0.80413319,0.872499284,0.867996561,0.877495805,0.967079729,1.003591658,0.884000138,0.906412968,0.721529479,0.718472998,0.663097008,0.685369532,0.60110171
110102,西城区,0.747632014,0.720245381,0.71848582,0.753923324,0.701919344,0.747141216,0.846160467,0.905473288,1.000263236,1.085303988,1.07970304,1.091519172,1.202952833,1.248370111,1.099609928,1.127489301,0.897512279,0.895615994,0.827068975,0.858053385,0.750802886
110105,朝阳区,6.146099591,5.990420233,6.170141931,6.572618459,6.188631017,6.610161741,7.561493997,8.109765157,8.977285826,9.793069781,9.808634778,9.920929425,10.99569812,11.51374568,10.19115606,10.45796332,8.326620185,8.269302312,7.608198266,7.755882669,6.781196086
110106,丰台区,2.980455915,2.87310369,2.894835624,3.048476942,2.858423047,3.058325948,3.468050243,3.72841942,4.146082441,4.581091728,4.579340744,4.629456464,5.102079664,5.33733589,4.70132013,4.820667209,3.837382764,3.898801241,3.633651462,3.805309806,3.341873892
110107,石景山区,0.968620748,0.941689372,0.961622878,1.010058138,0.943476221,1.004858594,1.138033345,1.21780541,1.346759651,1.461838024,1.466247385,1.482584998,1.633942737,1.695631965,1.493574482,1.531442384,1.219069966,1.227120241,1.170987895,1.250202825,1.104879515
110108,海淀区,3.541404304,3.451836273,3.617250738,3.823619129,3.615863022,3.92695111,4.44739323,4.792957443,5.318993487,5.798855786,5.810118679,5.87384947,6.473513287,6.802842806,5.997765662,6.155697558,4.900103386,4.984992936,4.699703401,4.970413617,4.364323762
110109,门头沟区,0.931124465,0.897496645,0.905654395,0.951731404,0.887206577,0.966091363,1.09773999,1.175895415,1.30740022,1.479354602,1.540992734,1.557857162,1.716899469,1.803201271,1.589792184,1.641830159,1.311012,1.324138603,1.244306999,1.320930069,1.170574298
110111,房山区,3.916367139,3.797404185,3.826461695,4.029371713,3.810793804,4.129357914,4.706083345,5.111811582,5.662821466,6.211291568,6.229067077,6.298547539,6.943334001,7.237282931,6.412117809,6.590631406,5.246322608,5.390377165,5.030473707,5.31624693,4.703858257
110112,通州区,5.982651696,5.925187925,6.147907876,6.503129194,6.361559526,7.159081818,8.315668233,9.259693284,10.53191664,12.34788434,13.34528511,14.03338114,15.50263946,16.41331112,14.91403717,15.70393929,12.61150207,12.5246884,11.52337996,11.74706281,10.27080215
110113,顺义区,4.044512682,4.010201773,4.205207322,4.435848714,4.280612568,4.628647962,5.302808754,5.795657088,6.548875641,7.311795892,7.590613367,7.778220654,8.63584387,9.221986593,8.159877166,8.406314791,6.696085673,7.098409727,6.975397998,7.815832975,7.141325493
110114,昌平区,3.788221596,3.75676609,4.008359266,4.276757517,4.253179945,4.663428846,5.346262373,5.789376627,6.440803983,7.059470315,7.112473566,7.194679392,7.932717377,8.3317923,7.347746958,7.587580396,6.039921233,6.175195197,5.877867795,6.365585497,5.760568035
110115,大兴区,3.289201908,3.187064195,3.237546748,3.432628882,3.436567898,3.819618698,4.412743202,4.972916787,5.539539722,6.45608936,6.603081855,6.685536729,7.368547421,7.742159305,6.832483562,7.012781929,5.585119426,5.914638403,5.648508057,6.432021669,5.928677748
110116,怀柔区,1.359938345,1.352777806,1.415983459,1.511165237,1.497559012,1.610185491,1.842772035,2.014457645,2.227476954,2.450294157,2.527372102,2.566678869,2.828712218,2.968979469,2.634252942,2.7022446,2.152137953,2.173014348,2.030734743,2.093955775,1.884540068
110117,平谷区,1.39364511,1.354411015,1.392120184,1.470336523,1.49334581,1.65981552,1.925164611,2.114099564,2.347156309,2.569001542,2.611622639,2.779683077,3.100046517,3.278366113,2.895331462,2.969942473,2.364394759,2.407594715,2.293064516,2.473233158,2.248231208
110228,密云县,1.661105302,1.615052034,1.653753676,1.764383715,1.831806319,2.023569746,2.33419296,2.517498361,2.785446923,3.037316655,3.079249125,3.139882948,3.467334637,3.623220654,3.201585368,3.324717352,2.656143114,2.703952219,2.531203778,2.634568192,2.35881809
110229,延庆县,1.103746982,1.11500172,1.216451982,1.337592921,1.396442179,1.520891303,1.730921292,1.874475847,2.079378756,2.278023683,2.289022291,2.319896824,2.556896545,2.685402798,2.369507587,2.433945158,1.937486824,1.953091479,1.832695208,1.891839947,1.674859108
